GEOID20,District
530330056005014,6
530330056005015,6
530330056005016,6
530330056005017,6
530330056005027,6
530330056005028,6
530330056005029,6
530330056005030,6
530330056005034,6
530330056005035,6
530330056005036,6
530330056005037,6
530330056005039,6
530330056005040,6
530330056005041,6
530330056005042,6
530330056005043,6
530330056005044,6
530330058032024,6
530330058041010,6
530330058041011,6
530330058041012,6
530330058041014,6
530330058041038,6
530330058041039,6
530330058041040,6
530339901000020,6
530339901000021,6
530339901000025,6
530339901000036,6
530330056003008,6
530330056003009,6
530330056003010,6
530330056003011,6
530330056003022,6
530330056003023,6
530330056003032,6
530330056003033,6
530330056003041,6
530339901000019,6
530330056002012,6
530330056002013,6
530330056002028,6
530330056002030,6
530330056003001,6
530330056003002,6
530330056003003,6
530330056003004,6
530330056003005,6
530330056003006,6
530330056003014,6
530330056003015,6
530339901000018,6
530330056002004,6
530330056002005,6
530330056002014,6
530330056002023,6
530330056002024,6
530330056002027,6
530330056002029,6
530330056003007,6
530339901000016,6
530339901000017,6
530330056001008,6
530330056001009,6
530330056001010,6
530330056001011,6
530330056001012,6
530330056002000,6
530330056002001,6
530330056002002,6
530330056002003,6
530330056002006,6
530330056002007,6
530330056002008,6
530330056002009,6
530330056002010,6
530330056002011,6
530330056002015,6
530330056002016,6
530330056002017,6
530330056002018,6
530330056002019,6
530330056002020,6
530330056002021,6
530330056002022,6
530330056001021,6
530330056002025,6
530330056002026,6
530330056003000,6
530330056003012,6
530330056003013,6
530330056003016,6
530330056003017,6
530330056003019,6
530330056004012,6
530330056004013,6
530330056004021,6
530330056004022,6
530330056004023,6
530330056003020,6
530330056003021,6
530330056003024,6
530330056003025,6
530330056004016,6
530330056004017,6
530330056004019,6
530330056004020,6
530330056004024,6
530330056004025,6
530330056004026,6
530330056004027,6
530330056004004,6
530330056004009,6
530330056004010,6
530330056004011,6
530330056004014,6
530330056004015,6
530330056004018,6
530330056001022,6
530330056004000,6
530330056004001,6
530330056004002,6
530330056004003,6
530330056004005,6
530330056004006,6
530330056004007,6
530330056004008,6
530330056004028,6
530330056004029,6
530330056004030,6
530330056001005,6
530330056001013,6
530330056001014,6
530330056001015,6
530330056001016,6
530330056001017,6
530330056001018,6
530330056001019,6
530330056001020,6
530330056001000,6
530330056001001,6
530330056001002,6
530330056001003,6
530330056001004,6
530330056001006,6
530330056001007,6
530330057002006,6
530330057002007,6
530330057002008,6
530330057002009,6
530330057004006,6
530330057004019,6
530330057004020,6
530330057002001,6
530330057002002,6
530330057002003,6
530330057002010,6
530330057002011,6
530330057004010,6
530330057004011,6
530330057004012,6
530330057004015,6
530330057004016,6
530330057004021,6
530330058013007,6
530330057004000,6
530330057004001,6
530330057004002,6
530330057004003,6
530330057004004,6
530330057004005,6
530330057002004,6
530330057002005,6
530330057004007,6
530330057004008,6
530330057004009,6
530330057004017,6
530330057004018,6
530330058013002,6
530330058013003,6
530330058013004,6
530330058013006,6
530330058013013,6
530330058011001,6
530330058012000,6
530330058012001,6
530330058013010,6
530330058013011,6
530330058013012,6
530330058012002,6
530330058012003,6
530330058012007,6
530330058012008,6
530330058012009,6
530330058012010,6
530330057002000,6
530330057002012,6
530330057002013,6
530330057004013,6
530330057004014,6
530330058013008,6
530330058013009,6
530330058011002,6
530330058011010,6
530330058012004,6
530330058012005,6
530330058012006,6
530330058031000,6
530330058031001,6
530330058031002,6
530330058031003,6
530330058031004,6
530330057002014,6
530330057002015,6
530330057002016,6
530330057002017,6
530330057002018,6
530330058031005,6
530330058031006,6
530330058031007,6
530330058031011,6
